registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
922523244022,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
922523244022,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,9.90
922523244023,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,8.00,9.00,8.00,8.00,9.00,8.00,9.00,8.00,9.00,9.00,8.50
922523244023,Computer Science and Business Systems,4,Pavithra,Database Management Systems,7.00,6.00,5.00,6.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00
922523244023,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,7.00,7.00,8.00,7.00,8.00,7.00,8.00,8.00,8.00,6.00,7.40
922523244023,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,5.00,6.00,3.00,5.00,6.00,4.00,6.00,7.00,5.00,6.00,5.30
922523244023,Computer Science and Business Systems,4,Manonmani,Machine Learning,8.00,8.00,9.00,7.00,8.00,9.00,8.00,8.00,9.00,8.00,8.20
922523244023,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,6.00,8.00,9.00,8.00,9.00,7.00,8.00,9.00,8.00,9.00,8.10
922523244023,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,7.00,6.00,7.00,6.00,8.00,6.00,6.00,7.00,7.00,8.00,6.80
922523244023,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,9.00,10.00,9.00,10.00,9.00,10.00,10.00,9.00,10.00,9.60
922523244023,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,7.00,6.00,6.00,7.00,7.00,6.00,6.00,7.00,6.00,6.00,6.40
922523244023,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,8.00,8.00,7.00,8.00,9.00,10.00,7.00,8.00,7.00,8.00,8.00
922523244047,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,5.00,5.00,6.00,5.00,6.00,5.00,6.00,5.00,5.00,5.00,5.30
